Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3090348,Devils,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Michael R. Katz,"=""0199540497""","=""9780199540495""",5,4.31,Oxford University Press,Paperback,769,2008,1872,2020/11/30,2020/11/17,"novelas, filosofía, política, literatura-rusa","novelas (#30), filosofía (#44), política (#14), literatura-rusa (#1)",read,,,,1,0
50770419,El Aleph,Jorge Luis Borges,"Borges, Jorge Luis",,"=""8426406408""","=""9788426406408""",5,4.32,Lumen,Kindle Edition,144,2019,1945,2020/11/17,2020/11/15,"cuentos, borgiano","cuentos (#2), borgiano (#5)",read,,,,1,0
213094558,Carta al padre,Franz Kafka,"Kafka, Franz",,"=""8446054663""","=""9788446054665""",4,4.03,"Ediciones Akal, S.A.",Kindle Edition,69,2024,1919,2020/12/19,2020/12/18,epistolas,epistolas (#1),read,,,,1,0
50339226,La Riqueza De Las Naciones (Spanish Edition),Adam Smith,"Smith, Adam",,"=""2291080792""","=""9782291080794""",5,3.89,The Masterpieces,Kindle Edition,506,2016,1776,2020/12/31,2020/12/21,economía,economía (#16),read,,,,1,0
41447708,El Capital. Libro tercero: El proceso global de la producción capitalista,Karl Marx,"Marx, Karl","Friedrich Engels, León Mamés, Pedro Scarón","=""843231787X""","=""9788432317873""",5,4.21,Siglo XXI,Paperback,1115,2017,1894,2021/03/29,2021/03/16,"economía, política, filosofía","economía (#19), política (#19), filosofía (#85)",read,,,,1,0
41447680,El Capital. Libro segundo: El proceso de circulación del capital,Karl Marx,"Marx, Karl","Friedrich Engels, Diana Castro, Pedro Scarón","=""8432317764""","=""9788432317767""",5,4.10,Siglo XXI,Paperback,650,2017,1887,2021/03/15,2021/03/06,"economía, filosofía, política","economía (#18), filosofía (#84), política (#18)",read,,,,1,0
41447629,El Capital. Libro primero: El proceso de producción del capital,Karl Marx,"Marx, Karl",Pedro Scarón,"=""8432317659""","=""9788432317651""",5,4.30,Siglo XXI,Paperback,999,2017,1887,2021/03/06,2021/02/14,"economía, filosofía, política","economía (#17), filosofía (#51), política (#17)",read,,,,1,0
125165,Pedro Páramo,Juan Rulfo,"Rulfo, Juan",,"=""8493442607""","=""9788493442606""",5,4.05,RM ,Paperback,132,2019,1955,2020/08/02,2020/08/01,"novelas, to-read","novelas (#21), to-read (#94)",to-read,,,,1,0
40772219,El discurso del método (Spanish Edition),René Descartes,"Descartes, René",,"=""8446027895""","=""9788446027898""",4,3.72,"Ediciones Akal, S.A.",Paperback,96,2007,1637,2020/05/25,2020/05/24,filosofía,filosofía (#14),read,,,,1,0
7843296,Así hablaba Zaratustra,Friedrich Nietzsche,"Nietzsche, Friedrich",Eric Walter Frederick Tomlin,"=""9700750272""","=""9789700750279""",5,4.07,Porrua,Paperback,225,2009,1883,2020/07/06,2020/05/03,filosofía,filosofía (#19),read,,,,1,0
10856537,El Príncipe,Niccolò Machiavelli,"Machiavelli, Niccolò",,"=""9700771016""","=""9789700771014""",5,3.84,Porrua,Paperback,74,2008,1532,2019/05/07,2019/03/26,"filosofía, política","filosofía (#1), política (#2)",read,,,,1,0
30363345,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0062464310""","=""9780062464316""",5,4.18,Harper,Hardcover,449,2017,2015,2019/02/24,2018/10/22,"filosofía, history","filosofía (#3), history (#19)",read,,,,1,0
20839196,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0062316095""","=""9780062316097""",5,4.33,Harper,Hardcover,443,2015,2011,2019/02/10,2018/10/22,"filosofía, history","filosofía (#2), history (#18)",read,,,,1,0
10396652,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""0553106635""","=""9780553106633""",5,4.55,Bantam,Hardcover,973,2000,2000,2019/09/06,2019/05/02,"game-of-thrones, novelas, fantasía","game-of-thrones (#3), novelas (#6), fantasía (#6)",read,,,,1,0
13422727,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""0553801473""","=""9780553801477""",5,4.34,Bantam,Hardcover,1016,2011,2011,2019/11/27,2019/05/02,"game-of-thrones, novelas, fantasía","game-of-thrones (#1), novelas (#1), fantasía (#4)",read,,,,1,0
147917,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""0553801503""","=""9780553801507""",5,4.17,Bantam,Hardcover,753,2005,2005,2019/11/04,2019/05/02,"game-of-thrones, novelas, fantasía","game-of-thrones (#2), novelas (#2), fantasía (#5)",read,,,,1,0
822995,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0006479898""","=""9780006479895""",5,4.42,HarperVoyager,Paperback,913,2003,1998,2019/08/04,2019/05/02,"game-of-thrones, novelas, fantasía","game-of-thrones (#4), novelas (#7), fantasía (#7)",read,,,,1,0
17881702,El Señor de las Moscas,William Golding,"Golding, William",Carmen Vergara,"=""8420674176""","=""9788420674179""",5,3.70,Alianza Editorial,Paperback,286,2010,1954,2016/01/01,2018/10/14,"novelas, literatura-inglesa","novelas (#11), literatura-inglesa (#1)",read,,,,1,0
6100328,Alejandro Magno: Conquistador del mundo,Robin Lane Fox,"Fox, Robin Lane",Maite Solana Mir,"=""8496834255""","=""9788496834255""",5,4.10,Acantilado,Paperback,960,2013,1973,2025/10/23,2024/03/24,"favoritos, history, oriental, biográfico, guerra","favoritos (#37), history (#15), oriental (#17), biográfico (#4), guerra (#7)",read,,,,1,0
34522209,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,"=""""","=""""",5,4.07,,Audible Audio,312,,2004,2026/02/25,2026/01/19,"biográfico, guerra, history, oriental","biográfico (#3), guerra (#6), history (#17), oriental (#18)",read,,,,1,0
43129902,Metafísica de las costumbres,Arthur Schopenhauer,"Schopenhauer, Arthur",Roberto R. Aramayo,"=""848164448X""","=""9788481644487""",5,3.82,"Editorial Trotta, S.A.",Paperback,264,2001,,2026/02/24,2023/07/08,"filosofía, schopenhueriano","filosofía (#87), schopenhueriano (#9)",read,,,,1,0
24899779,Mitos y leyendas Celtas,T.W. Rolleston,"Rolleston, T.W.",,"=""""","=""""",0,3.91,Turner Publicaciones,Paperback,408,2013,1911,,2026/02/19,currently-reading,currently-reading (#2),currently-reading,,,,1,0
220160960,Art of the Boy and the Heron,Hayao Miyazaki,"Miyazaki, Hayao",,"=""1974754596""","=""9781974754595""",5,4.56,VIZ Media LLC,Hardcover,328,2025,,2026/02/08,2026/02/05,historia-arte,historia-arte (#6),read,,,,1,0
149049,The Fountains of Paradise,Arthur C. Clarke,"Clarke, Arthur C.",,"=""0446677949""","=""9780446677943""",0,3.95,Aspect,Paperback,332,2001,1979,,2026/02/04,to-read,to-read (#93),to-read,,,,0,0
250024,The City and the Stars,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",0,4.07,Gollancz,Paperback,255,2001,1956,,2026/02/04,to-read,to-read (#92),to-read,,,,0,0
414999,Childhood’s End,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",5,4.12,Del Rey Books,Mass Market Paperback,224,1987,1953,2026/02/04,2025/12/08,"ciencia-ficción, novelas","ciencia-ficción (#23), novelas (#76)",read,,,,1,0
56968696,Lisístrata,Aristophanes,"Aristophanes, Aristophanes","Luis Gil Fernández, Rosario López Gregoris, Aristophanes","=""842493962X""","=""9788424939625""",5,3.87,Gredos,Paperback,144,2020,-423,2026/01/30,2026/01/30,"grecorromano, teatral-dramático","grecorromano (#19), teatral-dramático (#25)",read,,,,1,0
18523925,"El cristianismo al descubierto (Los ilustrados, #2)",Paul-Henri Thiry d'Holbach,"d'Holbach, Paul-Henri Thiry","Joaquin Fortanet, Rosa Martínez González, Josep Lluís Teodoro","=""8492422025""","=""9788492422029""",0,4.26,Laetoli,Paperback,168,2008,1761,,2026/01/30,to-read,to-read (#91),to-read,,,,0,0
18366560,Sistema de la Naturaleza,Paul-Henri Thiry d'Holbach,"d'Holbach, Paul-Henri Thiry",José Manuel Bermudo,"=""8492422033""","=""9788492422036""",0,4.31,Laetoli,Paperback,680,2008,1770,,2026/01/30,to-read,to-read (#90),to-read,,,,0,0
1158557,La puta de Babilonia,Fernando Vallejo,"Vallejo, Fernando",,"=""9703703267""","=""9789703703265""",5,3.83,Planeta Publishing,Paperback,317,2007,2005,2026/01/30,2026/01/18,history,history (#16),read,,,,1,0
2209442,地獄星 レミナ [Jiigokusei Remina],Junji Ito,"Ito, Junji",伊藤潤二,"=""4091860834""","=""9784091860835""",5,3.72,小学館,Paperback,291,2005,2005,2026/01/17,2026/01/17,"miedo, manga","miedo (#15), manga (#52)",read,,,,1,0
101635787,"Comedias III. Lisístrata - Las Tesmoforiantes, Las ranas - Las asambleístas, Pluto. (Biblioteca Clásica Gredos nº 408) (Spanish Edition)",Aristophanes,"Aristophanes, Aristophanes",,"=""8424930231""","=""9788424930233""",0,4.44,Gredos,Kindle Edition,640,2013,,,2026/01/17,to-read,to-read (#89),to-read,,,,0,0
35831776,Comedias II. Las nubes - Las avispas - La paz - Las aves (Biblioteca Clásica Gredos nº 391) (Spanish Edition),Aristophanes,"Aristophanes, Aristophanes","Luis Gil Fernández, Carlos García Gual","=""8424937589""","=""9788424937584""",0,3.67,Gredos,Kindle Edition,555,2016,,,2026/01/17,to-read,to-read (#88),to-read,,,,0,0
35831775,Comedias I. Los acarnienses. Los caballeros.: Los arcanienses. Los caballeros. (Biblioteca Clásica Gredos nº 204) (Spanish Edition),Aristophanes,"Aristophanes, Aristophanes","Luis Gil Fernández, Emilio Suárez de la Torre, Carlos García Gual","=""842493234X""","=""9788424932343""",0,3.71,Gredos,Kindle Edition,353,2016,,,2026/01/17,to-read,to-read (#87),to-read,,,,0,0
5463480,Tartufo,Molière,"Molière, Molière",,"=""8437604508""","=""9788437604503""",5,3.66,Cátedra,Paperback,192,2006,1664,2026/01/17,2026/01/17,"literatura-francesa, teatral-dramático","literatura-francesa (#10), teatral-dramático (#24)",read,,,,1,0
18689787,Art of the Wind Rises,Hayao Miyazaki,"Miyazaki, Hayao",,"=""1421571757""","=""9781421571751""",5,4.59,VIZ Media LLC,Hardcover,224,2014,2013,2026/01/16,2026/01/14,historia-arte,historia-arte (#5),read,,,,1,0
2323331,The Art of Howl's Moving Castle,Yuji Oniki,"Oniki, Yuji",Hayao Miyazaki,"=""4198100101""","=""9784198100100""",5,4.55,,Hardcover,252,,2004,2026/01/14,2026/01/11,historia-arte,historia-arte (#4),read,,,,1,0
17837762,Uzumaki,Junji Ito,"Ito, Junji",Yuji Oniki,"=""1421561328""","=""9781421561325""",0,4.45,VIZ Media,Hardcover,653,2013,1998,,2026/01/11,to-read,to-read (#86),to-read,,,,0,0
60705690,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.",Christopher Tolkien,"=""0063280779""","=""9780063280779""",5,4.04,William Morrow,Hardcover,358,2022,1977,2026/01/11,2024/03/24,"favoritos, mitología","favoritos (#38), mitología (#60)",read,,,,1,0
32970551,Poe: Stories and Poems: A Graphic Novel (A Haunting Visual Adaptation and Retelling of Edgar Allan Poe's Chilling Works - For Young Adults and Teens),Gareth Hinds,"Hinds, Gareth",,"=""0763695092""","=""9780763695095""",5,4.09,Candlewick,Paperback,120,2017,2017,2026/01/03,2026/01/02,"cuentos, miedo, novela-grafica, poesía","cuentos (#39), miedo (#14), novela-grafica (#2), poesía (#54)",read,,,,1,0
10842223,The Incal,Alejandro Jodorowsky,"Jodorowsky, Alejandro","Mœbius, Sasha Watson, Vanessa Molina Clémet, Justin Kelly, Brian Michael Bendis","=""1594650152""","=""9781594650154""",5,4.10,Humanoids,Hardcover,307,2011,1981,2026/01/02,2025/12/31,"novela-grafica, ciencia-ficción","novela-grafica (#1), ciencia-ficción (#22)",read,,,,1,0
62084696,Homer and His Iliad,Robin Lane Fox,"Fox, Robin Lane",,"=""0241524512""","=""9780241524510""",0,4.09,Allen Lane,Hardcover,464,2023,2023,,2025/12/31,to-read,to-read (#85),to-read,,,,0,0
26131,The Classical World: An Epic History from Homer to Hadrian,Robin Lane Fox,"Fox, Robin Lane",,"=""0465024963""","=""9780465024964""",0,3.90,Basic Books,Hardcover,672,2006,2005,,2025/12/31,to-read,to-read (#84),to-read,,,,0,0
42187438,El alcalde de Zalamea,Pedro Calderón de la Barca,"Barca, Pedro Calderón de la",,"=""8467052538""","=""9788467052534""",5,3.50,Austral,Paperback,224,2018,1636,2025/12/31,2025/12/31,teatral-dramático,teatral-dramático (#23),read,,,,1,0
35820334,Cuentos completos en prosa y verso,Voltaire,"Voltaire, Voltaire",Mauro Armiño,"=""8416280991""","=""9788416280995""",5,4.26,Siruela,Paperback,925,2015,2015,2025/12/30,2024/10/04,"cuentos, literatura-francesa, poesía","cuentos (#29), literatura-francesa (#9), poesía (#53)",read,,,,1,0
25018155,La estepa / En el barranco,Anton Chekhov,"Chekhov, Anton",,"=""""","=""""",5,3.88,Alba Editorial,Kindle Edition,240,2012,1881,2025/12/22,2024/03/24,"literatura-rusa, novelas","literatura-rusa (#19), novelas (#75)",read,,,,1,0
30108991,"Eneida. Geórgicas. Bucólicas. (Sepan Cuantos, #147)",Virgil,"Virgil, Virgil",,"=""607091161X""","=""9786070911613""",5,3.89,Porrua,Paperback,445,2012,,2021/04/14,2021/03/22,"mitología, epopeyas, poesía","mitología (#9), epopeyas (#5), poesía (#41)",read,,,,1,0
5788032,Mitología clásica china,Gabriel García-Noblejas,"García-Noblejas, Gabriel",,"=""8481646032""","=""9788481646030""",5,2.91,Trotta,Paperback,344,2012,2004,2025/12/19,2025/12/07,mitología,mitología (#59),read,,,,1,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.28,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2025/12/08,to-read,to-read (#83),to-read,,,,0,0
56899,Aura,Carlos Fuentes,"Fuentes, Carlos",,"=""9580469717""","=""9789580469711""",5,3.82,Norma S A Editorial,Paperback,118,2008,1962,2025/12/07,2025/12/06,cuentos,cuentos (#38),read,,,,1,0
76679,"Forward the Foundation (Foundation, #7)",Isaac Asimov,"Asimov, Isaac",,"=""0553565079""","=""9780553565072""",5,4.16,Bantam/Spectra,Paperback,464,1994,1993,2025/12/06,2025/11/30,"ciencia-ficción, novelas","ciencia-ficción (#21), novelas (#74)",read,,,,1,0
30013,"Prelude to Foundation (Foundation, #6)",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",5,4.17,Voyager,Mass Market Paperback,460,1994,1988,2025/11/30,2025/11/24,ciencia-ficción,ciencia-ficción (#20),read,,,,1,0
29582,"Foundation and Earth (Foundation, #5)",Isaac Asimov,"Asimov, Isaac",,"=""0553587579""","=""9780553587579""",5,4.07,Spectra,Mass Market Paperback,499,2004,1986,2025/11/24,2025/11/16,"ciencia-ficción, novelas","ciencia-ficción (#19), novelas (#73)",read,,,,1,0
112166,The Complete Poems,Samuel Taylor Coleridge,"Coleridge, Samuel Taylor",William Keach,"=""0140423532""","=""9780140423532""",0,4.09,Penguin Classics,Paperback,656,1997,1834,,2025/11/23,currently-reading,currently-reading (#1),currently-reading,,,,1,0
58756970,Lazarillo de Tormes,Lazarillo de Tormes,"Tormes, Lazarillo de",Francisco Rico,"=""8437606608""","=""9788437606606""",0,3.52,Cátedra,Paperback,196,1990,1554,,2025/07/18,to-read,to-read (#71),to-read,,,,0,0
76683,"Foundation's Edge (Foundation, #4)",Isaac Asimov,"Asimov, Isaac",,"=""0553293389""","=""9780553293388""",5,4.19,Bantam/Spectra,Paperback,450,2010,1982,2025/11/16,2025/11/06,"ciencia-ficción, novelas","ciencia-ficción (#18), novelas (#72)",read,,,,1,0
100676136,The Fantastic Gustave Doré,Alix Paré,"Paré, Alix",Valérie Sueur-hermel,"=""3791379631""","=""9783791379630""",5,4.88,Prestel,Hardcover,480,2023,2021,2025/11/15,2025/10/03,historia-arte,historia-arte (#3),read,,,,1,0
29580,"Second Foundation (Foundation, #3)",Isaac Asimov,"Asimov, Isaac",,"=""0553803735""","=""9780553803730""",5,4.28,Bantam Spectra,Hardcover,256,2004,1953,2025/11/06,2025/11/02,"ciencia-ficción, novelas","ciencia-ficción (#17), novelas (#71)",read,,,,1,0
29558563,Camino de campo: Der Feldweg (Spanish Edition),Martin Heidegger,"Heidegger, Martin",Carlota Rubies,"=""8425429943""","=""9788425429941""",4,3.97,Herder Editorial,Kindle Edition,43,2012,,2021/05/04,2021/05/04,filosofía,filosofía (#59),read,,,,1,0
29581,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"Asimov, Isaac",,"=""0553803727""","=""9780553803723""",5,4.22,Spectra,Hardcover,256,2004,1952,2025/11/02,2025/10/31,"ciencia-ficción, novelas","ciencia-ficción (#16), novelas (#70)",read,,,,1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",5,4.17,Bantam,Hardcover,244,2004,1951,2025/10/31,2025/10/28,"ciencia-ficción, novelas","ciencia-ficción (#15), novelas (#69)",read,,,,1,0
264158,The Raven,Edgar Allan Poe,"Poe, Edgar Allan",Gustave Doré,"=""0486290727""","=""9780486290720""",5,4.29,Dover Publications,Paperback,64,1996,1845,2025/10/30,2025/10/30,poesía,poesía (#52),read,,,,1,0
1137702,The Wendigo,Algernon Blackwood,"Blackwood, Algernon",,"=""""","=""""",5,3.79,Hard Press,Paperback,48,2006,1910,2025/10/27,2025/10/26,"cuentos, miedo","cuentos (#37), miedo (#13)",read,,,,1,0
1335601,The Willows,Algernon Blackwood,"Blackwood, Algernon",,"=""1587156520""","=""9781587156526""",5,4.04,Wildside Press,Paperback,105,2003,1907,2025/10/26,2025/10/23,"miedo, cuentos","miedo (#12), cuentos (#36)",read,,,,1,0
732562,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,"Coleridge, Samuel Taylor",Gustave Doré,"=""0486223051""","=""9780486223056""",5,3.97,Dover Publications,Paperback,77,1970,1798,2025/10/23,2025/10/23,poesía,poesía (#51),read,,,,1,0
43909397,No Longer Human,Junji Ito,"Ito, Junji",Osamu Dazai,"=""1974707091""","=""9781974707096""",5,4.28,VIZ Media,Hardcover,616,2019,2019,2025/09/12,2025/09/11,"manga, miedo","manga (#51), miedo (#11)",read,,,,1,0
148660835,El castillo,Franz Kafka,"Kafka, Franz",,"=""6073832788""","=""9786073832786""",5,3.91,Debolsillo,Paperback,368,2023,1926,2025/09/11,2024/03/24,novelas,novelas (#68),read,,,,1,0
18363564,El proceso,Franz Kafka,"Kafka, Franz","Miguel Sáenz, Ignacio Echevarría, Jordi Llovet","=""8490321426""","=""9788490321423""",5,3.94,Debolsillo,Hardcover,264,2018,1925,2025/08/22,2024/03/24,novelas,novelas (#67),read,,,,1,0
36026831,You Need More Money: Wake Up and Solve Your Financial Problems Once And For All,Matt Manero,"Manero, Matt",,"=""0735216983""","=""9780735216983""",1,4.14,Portfolio,Hardcover,240,2018,,2018/01/01,2018/10/14,"economía, self-help","economía (#4), self-help (#2)",read,,,,1,0
292195,"Myths from Mesopotamia: Creation, the Flood, Gilgamesh, and Others",Anonymous,"Anonymous, Anonymous",Stephanie Dalley,"=""0192835890""","=""9780192835895""",5,4.01,Oxford University Press,Paperback,339,1989,1989,2021/04/07,2021/04/05,"history, mitología, favoritos","history (#7), mitología (#5), favoritos (#24)",read,,,,1,0
1292039,Las Argonáuticas,Apollonius of Rhodes,"Rhodes, Apollonius of",Máximo Brioso Sánchez,"=""8437605814""","=""9788437605814""",5,3.82,Cátedra,Mass Market Paperback,240,2018,-250,2025/08/05,2025/07/18,"mitología, epopeyas, grecorromano, poesía","mitología (#58), epopeyas (#12), grecorromano (#3), poesía (#50)",read,,,,1,0
61441592,Berserk Volume 41,Kentaro Miura,"Miura, Kentaro",Duane Johnson,"=""150673376X""","=""9781506733760""",5,4.80,Dark Horse Manga,Kindle Edition,180,2022,2021,2021/12/11,2021/12/11,"berserk, manga","berserk (#41), manga (#41)",read,,,,1,0
22624,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","James  Wood, Robert Baldick","=""""","=""""",5,3.93,Penguin Books,Paperback,253,2000,1938,2020/11/14,2020/11/10,"filosofía, novelas, favoritos, literatura-francesa","filosofía (#43), novelas (#28), favoritos (#8), literatura-francesa (#8)",read,,,,1,0
1836303,El extranjero,Albert Camus,"Camus, Albert",José Ángel Valente,"=""""","=""""",5,4.03,Alianza Editorial,Unknown Binding,124,1999,1942,2020/10/12,2020/10/11,"filosofía, novelas, existencialista, literatura-francesa","filosofía (#35), novelas (#25), existencialista (#4), literatura-francesa (#7)",read,,,,1,0
770754,La peste,Albert Camus,"Camus, Albert",,"=""""","=""""",5,4.02,Folio,Mass Market Paperback,279,1972,1947,2020/10/18,2020/10/15,"novelas, existencialista, literatura-francesa","novelas (#26), existencialista (#5), literatura-francesa (#6)",read,,,,1,0
1762841,Cándido / Micromegas / Zadig,Voltaire,"Voltaire, Voltaire",,"=""8437605415""","=""9788437605418""",5,3.91,Ediciones Cátedra,Paperback,288,2006,1759,2023/07/08,2021/09/18,"cuentos, filosofía, literatura-francesa","cuentos (#24), filosofía (#79), literatura-francesa (#5)",read,,,,1,0
59283,"Sinuhé, el egipcio",Mika Waltari,"Waltari, Mika",Manuel Bosch Barret,"=""849759665X""","=""9788497596657""",5,4.22,DEBOLSILLO,Mass Market Paperback,736,2003,1945,2023/07/21,2023/07/12,"novelas-historicas, oriental","novelas-historicas (#1), oriental (#16)",read,,,,1,0
375871,The Qur'an,Anonymous,"Anonymous, Anonymous",Muhammad A.S. Abdel Haleem,"=""0192805487""","=""9780192805485""",5,4.38,Oxford University Press,Hardcover,512,2004,632,2025/01/07,2024/12/28,"mitología, árabe","mitología (#52), árabe (#1)",read,,,,1,0
18660286,The Hobbit: Or There and Back Again,J.R.R. Tolkien,"Tolkien, J.R.R.",Alan  Lee,"=""""","=""""",5,4.30,William Morrow,Kindle Edition,322,2012,1937,2025/01/19,2025/01/17,"mitología, novelas, fantasía","mitología (#54), novelas (#64), fantasía (#11)",read,,,,1,0
53919588,Los ojos del hermano eterno,Stefan Zweig,"Zweig, Stefan","Joan Fontcuberta i Gel, Agata Orzeszek","=""8417902589""","=""9788417902582""",5,3.96,Acantilado,Kindle Edition,52,2020,1921,2025/01/20,2025/01/20,"cuentos, oriental","cuentos (#31), oriental (#15)",read,,,,1,0
9744896,Tito Andronico,William Shakespeare,"Shakespeare, William",,"=""8804380039""","=""9788804380030""",5,3.67,Mondadori,Paperback,211,2004,1594,2025/01/22,2025/01/21,"teatral-dramático, poesía","teatral-dramático (#20), poesía (#49)",read,,,,1,0
12247414,Timon de Atenas,William Shakespeare,"Shakespeare, William",,"=""9500306271""","=""9789500306270""",5,3.45,Losada/Argentina,Paperback,248,2005,1605,2025/01/25,2025/01/23,"teatral-dramático, poesía","teatral-dramático (#21), poesía (#48)",read,,,,1,0
10421068,Coriolano,William Shakespeare,"Shakespeare, William",Gabriele Baldini,"=""8817165948""","=""9788817165945""",5,3.73,BUR Biblioteca Univ. Rizzoli,Paperback,304,1986,1608,2025/01/26,2025/01/25,"teatral-dramático, poesía","teatral-dramático (#22), poesía (#47)",read,,,,1,0
65105,Momentos estelares de la humanidad: Catorce miniaturas históricas,Stefan Zweig,"Zweig, Stefan",Berta Vias Mahou,"=""8495359928""","=""9788495359926""",5,4.24,El Acantilado,Paperback,312,2002,1927,2025/04/10,2025/01/26,"cuentos, history","cuentos (#32), history (#12)",read,,,,1,0
18171359,El desaparecido,Franz Kafka,"Kafka, Franz","Miguel Sáenz, Jordi Llovet","=""9588773423""","=""9789588773421""",5,3.74,DEBOLSILLO,Paperback,289,2012,1927,2025/08/10,2025/08/05,novelas,novelas (#65),read,,,,1,0
43477848,Cartas a Lucilio,Seneca,"Seneca, Seneca",,"=""8437638666""","=""9788437638669""",5,4.32,CATEDRA,Paperback,760,2018,64,2025/08/01,2024/07/12,"epistolas, filosofía, grecorromano","epistolas (#4), filosofía (#83), grecorromano (#18)",read,,,,1,0
60024807,El conde de Montecristo,Alexandre Dumas,"Dumas, Alexandre","Pollux Hernúñez, José Holguera","=""8413626703""","=""9788413626703""",5,4.33,Alianza editorial ,Paperback,1318,2022,1844,2023/06/25,2023/06/15,"novelas, favoritos, literatura-francesa","novelas (#55), favoritos (#31), literatura-francesa (#4)",read,,,,1,0
32279267,Biblioteca (Biblioteca Clásica Gredos nº 85) (Spanish Edition),Apolodoro,"Apolodoro, Apolodoro","Margarita Rodríguez de Sepúlveda, Concepción Serrano Aybar, Javier Arce Martínez, Carlos García Gual","=""8424929446""","=""9788424929442""",5,3.91,Gredos,Kindle Edition,237,2002,200,2023/05/01,2023/04/30,"mitología, grecorromano","mitología (#40), grecorromano (#17)",read,,,,1,0
59949544,Mitología H.P. Lovecraft: El ascenso divino del terror,Javier Tapia,"Tapia, Javier",,"=""8418211768""","=""9788418211768""",4,3.28,Plutón Ediciones,Paperback,224,2021,,2022/05/12,2022/05/10,"mitología, miedo","mitología (#35), miedo (#10)",read,,,,1,0
42411621,"Esquilo, Sófocles, Eurípides obras completas",Aeschylus,"Aeschylus, Aeschylus","Sophocles, Euripides, Emilio Crespo","=""8437630150""","=""9788437630151""",5,4.55,Cátedra,Paperback,1568,2012,,2022/05/05,2021/09/18,"mitología, teatral-dramático, favoritos, poesía, grecorromano","mitología (#32), teatral-dramático (#7), favoritos (#27), poesía (#26), grecorromano (#16)",read,,,,1,0
36702486,"Germinal (Les Rougon-Macquart, #13)",Émile Zola,"Zola, Émile",Tabita Peralta Lugones,"=""8446044595""","=""9788446044598""",5,4.21,Akal,Paperback,558,2017,1885,2022/03/06,2021/09/18,"novelas, literatura-francesa","novelas (#50), literatura-francesa (#3)",read,,,,1,0
415459,I Have No Mouth & I Must Scream,Harlan Ellison,"Ellison, Harlan",Theodore Sturgeon,"=""0441363954""","=""9780441363957""",5,3.89,Ace,Mass Market Paperback,134,1967,1967,2021/11/15,2021/11/15,"cuentos, ciencia-ficción","cuentos (#18), ciencia-ficción (#14)",read,,,,1,0
236176,Esperando a Godot,Samuel Beckett,"Beckett, Samuel",Ana María Moix,"=""8472238652""","=""9788472238657""",5,3.84,Tusquets,Mass Market Paperback,160,2004,1951,2021/11/06,2021/11/05,"teatral-dramático, existencialista","teatral-dramático (#4), existencialista (#12)",read,,,,1,0
18806442,"El Principito (Sepan Cuantos, #299)",Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",María de los Ángeles Porrúa,"=""9700774929""","=""9789700774923""",5,4.33,Editorial Porrua,Paperback,88,2014,1943,2021/11/03,2021/08/21,"cuentos, literatura-francesa","cuentos (#17), literatura-francesa (#2)",read,,,,1,0
28458110,Los miserables,Victor Hugo,"Hugo, Victor",María Teresa Gallego Urrutia,"=""8491041540""","=""9788491041542""",5,4.21,Alianza editorial,Paperback,1608,2015,1862,2021/11/02,2021/06/19,"novelas, literatura-francesa","novelas (#47), literatura-francesa (#1)",read,,,,1,0
28790144,Bhagavad Gita,Krishna-Dwaipayana Vyasa,"Vyasa, Krishna-Dwaipayana",,"=""8491059768""","=""9788491059769""",5,4.19,Penguin Clásicos,Kindle Edition,352,2015,-400,2021/08/09,2021/07/06,"mitología, oriental, filosofía, poesía","mitología (#20), oriental (#6), filosofía (#67), poesía (#46)",read,,,,1,0
